613,8629
321,6378
407,4838
276,4508
531,4048
316,4005
14,3863
1799,3449
297,2831
1107,2773
8,2754
788,2744
1583,2703
96,2684
159,2615
1326,2573
1272,2429
766,2279
39,2249
4,2242
32,2225
522,2145
2606,2119
1737,2096
64,2061
482,1920
273,1844
527,1748
893,1583
665,1581
3212,1512
3491,1499
998,1485
310,1421
2369,1413
607,1403
127,1396
1180,1374
312,1365
89,1332
1025,1327
356,1319
3219,1312
821,1266
2776,1199
3752,1192
63,1162
1251,1139
625,1106
3281,1102
1771,1085
1634,1084
31,1076
507,1050
730,1046
207,1023
3266,1014
3347,973
1698,970
1350,958
3231,956
2462,897
404,891
1,884
453,868
869,868
58,850
1651,842
1547,824
294,818
1398,815
520,776
901,770
2858,769
1604,766
53,755
1788,699
306,694
755,684
657,676
1374,667
1790,641
2511,632
817,626
1263,622
3269,607
4544,591
65,585
584,582
3181,582
97,579
1271,577
82,572
2450,536
3234,532
1644,530
2192,527
1325,524
2329,523
1668,511
3220,491
2370,487
1313,486
2399,476
774,475
2021,473
2230,472
1385,468
272,462
168,461
2349,461
3233,461
3627,455
183,444
452,444
2400,444
313,437
15,434
3126,429
1099,427
1511,427
1470,425
1709,421
2876,414
1791,413
2085,410
1825,405
2233,401
27,400
1390,400
2552,399
2806,399
3127,399
3193,392
497,388
449,387
1780,386
1692,384
3542,384
1485,383
1006,380
123,372
693,372
432,369
5024,369
1392,368
6,367
4216,367
3555,364
4891,364
1193,361
3794,358
307,355
1162,355
2810,352
1521,350
110,348
2872,348
296,344
567,344
1441,344
3235,344
526,342
2157,342
3283,341
112,335
1832,334
301,333
4553,330
3550,320
3078,318
3574,318
1889,310
7,309
2623,308
1927,303
4727,303
1461,299
13,294
69,294
2101,293
3717,292
2234,291
1368,290
3830,288
992,284
347,280
2743,273
1898,270
1987,270
2453,266
3660,264
333,262
2209,259
1750,258
6027,258
251,257
647,257
2116,256
3361,253
3859,244
1387,243
3305,242
122,237
1905,235
473,234
644,233
2628,232
3316,230
150,227
1296,227
1495,227
406,226
247,225
281,225
155,222
6017,222
1225,221
2232,219
3419,219
541,218
1295,216
2306,215
3251,214
1792,212
2413,210
2607,210
1160,209
906,208
3345,205
196,203
2706,203
1011,202
2154,202
26,199
134,199
2216,199
3708,199
1923,198
2107,198
2235,197
1802,196
3128,196
543,195
1861,194
1241,193
471,190
2444,190
2645,190
2790,189
224,188
2954,187
4562,187
3730,186
418,184
3318,184
3184,183
4543,183
1051,182
1152,181
2817,180
4075,180
3552,177
303,176
911,176
302,175
428,175
3695,174
496,171
1573,171
1748,170
4327,169
638,168
3238,168
116,167
831,167
3524,167
3418,166
1665,165
2367,163
5285,163
761,160
1609,156
469,155
3750,155
4603,155
327,154
1460,154
3265,154
3782,154
128,153
1566,153
2158,153
2452,152
3241,152
1540,151
2579,150
5185,149
1742,147
5719,147
2797,146
621,145
1122,145
1734,145
640,143
509,142
4503,142
1018,141
671,140
3222,140
147,139
396,139
3335,139
5720,139
3102,138
865,137
2715,137
672,136
1914,134
3051,134
3106,134
634,133
658,132
2589,132
5192,132
2271,131
5146,130
2827,129
3206,129
3397,129
3647,129
4221,129
3881,128
5721,127
3116,126
194,125
392,124
1926,124
3623,124
1823,123
2971,123
2060,122
2361,122
2422,121
3072,121
256,120
1592,120
646,119
1207,119
2602,119
2734,119
2331,118
2626,117
2019,116
2825,116
1475,115
6207,115
1851,114
2927,114
3176,114
639,113
2603,113
3517,113
1208,111
5815,111
2201,110
4151,110
1627,109
2619,109
1362,108
2152,108
1039,107
1542,107
3143,107
492,106
2772,106
2892,106
3855,106
3981,106
3667,105
3984,105
4835,105
2578,103
1211,101
3368,101
465,100
686,100
1096,100
1215,100
2409,100
5,99
397,99
3284,99
3549,99
5661,99
236,98
618,98
1655,98
1689,98
2615,98
3287,98
3637,97
2111,96
2223,96
3144,96
3505,96
3511,96
166,95
504,95
2199,95
2634,95
2713,95
2843,95
2265,94
3476,94
1907,93
3236,93
3810,93
3973,93
